city,Restaurant,Guests Min,Guests Max,Days Ahead,Open Time,Close Time,Closed Days
new york,Carbone,1,15,28,,,
new york,Rubirosa,1,8,7,,,
new york,Coqodaq,2,7,13,,,
new york,Lilia,2,7,28,5:00 PM,9:30 PM,
new york,4 Charles Prime Rib,1,7,21,,,
new york,Torrisi,1,15,30,,,Su
new york,Monkey Bar,1,9,20,,,
new york,Via Carota,1,6,30,11:00 AM,11:00 PM,
new york,Le Gratin,1,7,30,,,
new york,Crevette,1,7,14,,,
new york,Pastis,2,7,21,,,
new york,Misi,1,6,28,,,
new york,Pasquale Jones,1,8,20,,,
new york,Charlie Bird,1,8,20,5:00 PM,10:00 PM,
new york,Hanoi House,1,11,30,,,
new york,Laser Wolf Brooklyn,1,9,21,,,
new york,Shukette,1,7,13,,,
new york,Shuka,1,15,29,,,
new york,Cookshop,1,11,29,,,
sf,Jules,1,5,14,5:00 PM,9:00 PM,Su;M
sf,Mr. Pollo,1,5,10,,,Su;M
sf,Piccino Presidio,1,9,90,,,
sf,The Morris,1,7,28,,,Su
sf,Collina,2,4,28,,,
sf,Pearl 6101,1,7,28,,,
sf,Flour + Water,1,7,21,,,
sf,7 Adams,1,9,21,,,
sf,Nari,1,6,50,,,
sf,Flour + Water Pizzeria - North Beach,1,13,25,,,
sf,Casaro Osteria,2,10,28,12:00 PM,10:00 PM,
sf,Napizza,1,11,60,,,
sf,Sisterita,1,7,28,,,
sf,Mission Chinese Food SF,1,9,28,,,
sf,Shuggie's,1,9,14,,,M
sf,Penny Roma,1,11,21,,,
sf,Brenda's Meat & Three,1,7,28,,,
sf,SPQR,1,7,45,,,
sf,Wizards and Wands,1,13,28,5:00 PM,2:00 AM,
sf,Kin Khao,1,11,60,,,
